01. Ano,02. Nome Região (Portugal),03. Âmbito Geográfico,04. Filtro 1,05. Filtro 2,06. Filtro 3,07. Escala,08. Símbolo,09. Valor
2009,Boticas,Município,Básico - 3º Ciclo e secundário,,,,,18.2
2009,Boticas,Município,Educação Pré-Escolar,,,,-,
2009,Braga,Município,Básico - 1º Ciclo,,,,,87.3
2009,Braga,Município,Básico - 2º Ciclo,,,,,250.5
2009,Braga,Município,Básico - 3º Ciclo e secundário,,,,,104.8
2009,Braga,Município,Educação Pré-Escolar,,,,,59.6
2009,Bragança,Município,Básico - 1º Ciclo,,,,,435.7
2009,Bragança,Município,Básico - 2º Ciclo,,,,,330.0
2009,Bragança,Município,Básico - 3º Ciclo e secundário,,,,,152.9
2009,Bragança,Município,Educação Pré-Escolar,,,,,60.0
2009,Cabeceiras de Basto,Município,Básico - 1º Ciclo,,,,,640.0
2009,Cabeceiras de Basto,Município,Básico - 2º Ciclo,,,,,100.0
2009,Cabeceiras de Basto,Município,Básico - 3º Ciclo e secundário,,,,,14.0
2009,Cabeceiras de Basto,Município,Educação Pré-Escolar,,,,,300.0
2009,Cadaval,Município,Básico - 1º Ciclo,,,,,43.5
2009,Cadaval,Município,Básico - 2º Ciclo,,,,,62.5
2009,Cadaval,Município,Básico - 3º Ciclo e secundário,,,,,23.5
2009,Cadaval,Município,Educação Pré-Escolar,,,,,175.0
2009,Caldas da Rainha,Município,Básico - 1º Ciclo,,,,,75.8
2009,Caldas da Rainha,Município,Básico - 2º Ciclo,,,,,138.8
2009,Caldas da Rainha,Município,Básico - 3º Ciclo e secundário,,,,,109.5
2009,Caldas da Rainha,Município,Educação Pré-Escolar,,,,,94.1
2009,Calheta [R.A.A.],Município,Básico - 1º Ciclo,,,,x,
2009,Calheta [R.A.A.],Município,Básico - 2º Ciclo,,,,x,
2009,Calheta [R.A.A.],Município,Básico - 3º Ciclo e secundário,,,,x,
2009,Calheta [R.A.A.],Município,Educação Pré-Escolar,,,,x,
2009,Calheta [R.A.M.],Município,Básico - 1º Ciclo,,,,x,
2009,Calheta [R.A.M.],Município,Básico - 2º Ciclo,,,,x,
2009,Calheta [R.A.M.],Município,Básico - 3º Ciclo e secundário,,,,x,
2009,Calheta [R.A.M.],Município,Educação Pré-Escolar,,,,x,
2009,Câmara de Lobos,Município,Básico - 1º Ciclo,,,,x,
2009,Câmara de Lobos,Município,Básico - 2º Ciclo,,,,x,
2009,Câmara de Lobos,Município,Básico - 3º Ciclo e secundário,,,,x,
2009,Câmara de Lobos,Município,Educação Pré-Escolar,,,,x,
2009,Caminha,Município,Básico - 1º Ciclo,,,,,45.5
2009,Caminha,Município,Básico - 2º Ciclo,,,,,118.8
2009,Caminha,Município,Básico - 3º Ciclo e secundário,,,,,80.0
2009,Caminha,Município,Educação Pré-Escolar,,,,,100.0
2009,Campo Maior,Município,Básico - 1º Ciclo,,,,,100.0
2009,Campo Maior,Município,Básico - 2º Ciclo,,,,,81.8
2009,Campo Maior,Município,Básico - 3º Ciclo e secundário,,,,,19.0
2009,Campo Maior,Município,Educação Pré-Escolar,,,,,16.7
2009,Cantanhede,Município,Básico - 1º Ciclo,,,,,181.0
2009,Cantanhede,Município,Básico - 2º Ciclo,,,,,191.3
2009,Cantanhede,Município,Básico - 3º Ciclo e secundário,,,,,138.8
2009,Cantanhede,Município,Educação Pré-Escolar,,,,,47.1
2009,Carrazeda de Ansiães,Município,Básico - 1º Ciclo,,,,-,
2009,Carrazeda de Ansiães,Município,Básico - 2º Ciclo,,,,,800.0
2009,Carrazeda de Ansiães,Município,Básico - 3º Ciclo e secundário,,,,,54.5
2009,Carrazeda de Ansiães,Município,Educação Pré-Escolar,,,,-,
2009,Carregal do Sal,Município,Básico - 1º Ciclo,,,,,100.0
2009,Carregal do Sal,Município,Básico - 2º Ciclo,,,,,250.0
2009,Carregal do Sal,Município,Básico - 3º Ciclo e secundário,,,,,94.7
2009,Carregal do Sal,Município,Educação Pré-Escolar,,,,,200.0
