01. Ano,02. Nome Região (Portugal),03. Âmbito Geográfico,04. Filtro 1,05. Filtro 2,06. Filtro 3,07. Escala,08. Símbolo,09. Valor
2011,Portugal,,Total,12º ano,,,,34.3
2011,Portugal,,Total,Total,,,,20.8
2012,Portugal,,Cursos gerais,10º ano,,,,17.6
2012,Portugal,,Cursos gerais,11º ano,,,,14.4
2012,Portugal,,Cursos gerais,12º ano,,,,35.3
2012,Portugal,,Cursos gerais,Total,,,,22.2
2012,Portugal,,Cursos Tecnológicos e Profissionais,10º ano,,,,13.6
2012,Portugal,,Cursos Tecnológicos e Profissionais,11º ano,,,,6.9
2012,Portugal,,Cursos Tecnológicos e Profissionais,12º ano,,,,31.4
2012,Portugal,,Cursos Tecnológicos e Profissionais,Total,,,,16.9
2012,Portugal,,Total,10º ano,,,,16.0
2012,Portugal,,Total,11º ano,,,,11.6
2012,Portugal,,Total,12º ano,,,,33.8
2012,Portugal,,Total,Total,,,,20.1
2013,Portugal,,Cursos gerais,10º ano,,,,16.4
2013,Portugal,,Cursos gerais,11º ano,,,,14.3
2013,Portugal,,Cursos gerais,12º ano,,,,35.6
2013,Portugal,,Cursos gerais,Total,,,,21.6
2013,Portugal,,Cursos Tecnológicos e Profissionais,10º ano,,,,8.7
2013,Portugal,,Cursos Tecnológicos e Profissionais,11º ano,,,,5.3
2013,Portugal,,Cursos Tecnológicos e Profissionais,12º ano,,,,32.6
2013,Portugal,,Cursos Tecnológicos e Profissionais,Total,,,,14.6
2013,Portugal,,Total,10º ano,,,,13.4
2013,Portugal,,Total,11º ano,,,,10.9
2013,Portugal,,Total,12º ano,,,,34.5
2013,Portugal,,Total,Total,,,,19.0
2014,Portugal,,Cursos gerais,10º ano,,,,16.6
2014,Portugal,,Cursos gerais,11º ano,,,,12.8
2014,Portugal,,Cursos gerais,12º ano,,,,35.0
2014,Portugal,,Cursos gerais,Total,,,,21.1
2014,Portugal,,Cursos Tecnológicos e Profissionais,10º ano,,,,7.2
2014,Portugal,,Cursos Tecnológicos e Profissionais,11º ano,,,,4.9
2014,Portugal,,Cursos Tecnológicos e Profissionais,12º ano,,,,32.3
2014,Portugal,,Cursos Tecnológicos e Profissionais,Total,,,,14.2
2014,Portugal,,Total,10º ano,,,,13.0
2014,Portugal,,Total,11º ano,,,,9.9
2014,Portugal,,Total,12º ano,,,,34.0
2014,Portugal,,Total,Total,,,,18.5
2015,Portugal,,Cursos gerais,10º ano,,,,15.1
2015,Portugal,,Cursos gerais,11º ano,,,,10.7
2015,Portugal,,Cursos gerais,12º ano,,,,30.3
2015,Portugal,,Cursos gerais,Total,,,,18.4
2015,Portugal,,Cursos Tecnológicos e Profissionais,10º ano,,,,8.2
2015,Portugal,,Cursos Tecnológicos e Profissionais,11º ano,,,,4.9
2015,Portugal,,Cursos Tecnológicos e Profissionais,12º ano,,,,29.0
2015,Portugal,,Cursos Tecnológicos e Profissionais,Total,,,,13.5
2015,Portugal,,Total,10º ano,,,,12.5
2015,Portugal,,Total,11º ano,,,,8.6
2015,Portugal,,Total,12º ano,,,,29.9
2015,Portugal,,Total,Total,,,,16.6
2016,Portugal,,Cursos gerais,10º ano,,,,16.5
2016,Portugal,,Cursos gerais,11º ano,,,,8.4
2016,Portugal,,Cursos gerais,12º ano,,,,29.9
2016,Portugal,,Cursos gerais,Total,,,,18.0
2016,Portugal,,Cursos Tecnológicos e Profissionais,10º ano,,,,6.9
2016,Portugal,,Cursos Tecnológicos e Profissionais,11º ano,,,,4.5
2016,Portugal,,Cursos Tecnológicos e Profissionais,12º ano,,,,25.1
2016,Portugal,,Cursos Tecnológicos e Profissionais,Total,,,,11.6
2016,Portugal,,Total,10º ano,,,,12.9
2016,Portugal,,Total,11º ano,,,,7.1
2016,Portugal,,Total,12º ano,,,,28.2
2016,Portugal,,Total,Total,,,,15.7
2017,Portugal,,Cursos gerais,10º ano,,,,16.4
2017,Portugal,,Cursos gerais,11º ano,,,,8.7
2017,Portugal,,Cursos gerais,12º ano,,,,27.5
2017,Portugal,,Cursos gerais,Total,,,,17.5
2017,Portugal,,Cursos Tecnológicos e Profissionais,10º ano,,,,6.5
2017,Portugal,,Cursos Tecnológicos e Profissionais,11º ano,,,,4.4
2017,Portugal,,Cursos Tecnológicos e Profissionais,12º ano,,,,23.8
2017,Portugal,,Cursos Tecnológicos e Profissionais,Total,,,,10.9
2017,Portugal,,Total,10º ano,,,,12.6
2017,Portugal,,Total,11º ano,,,,7.1
2017,Portugal,,Total,12º ano,,,,26.2
2017,Portugal,,Total,Total,,,,15.1
2018,Portugal,,Cursos gerais,10º ano,,,,14.1
2018,Portugal,,Cursos gerais,11º ano,,,,8.3
2018,Portugal,,Cursos gerais,12º ano,,,,26.0
2018,Portugal,,Cursos gerais,Total,,,,16.0
2018,Portugal,,Cursos Tecnológicos e Profissionais,10º ano,,,,6.1
2018,Portugal,,Cursos Tecnológicos e Profissionais,11º ano,,,,4.7
2018,Portugal,,Cursos Tecnológicos e Profissionais,12º ano,,,,21.6
2018,Portugal,,Cursos Tecnológicos e Profissionais,Total,,,,10.3
2018,Portugal,,Total,10º ano,,,,11.1
2018,Portugal,,Total,11º ano,,,,7.0
2018,Portugal,,Total,12º ano,,,,24.5
2018,Portugal,,Total,Total,,,,13.9
2019,Portugal,,Cursos gerais,10º ano,,,,13.3
2019,Portugal,,Cursos gerais,11º ano,,,,7.8
2019,Portugal,,Cursos gerais,12º ano,,,,23.2
2019,Portugal,,Cursos gerais,Total,,,,14.6
2019,Portugal,,Cursos Tecnológicos e Profissionais,10º ano,,,,6.2
2019,Portugal,,Cursos Tecnológicos e Profissionais,11º ano,,,,4.7
2019,Portugal,,Cursos Tecnológicos e Profissionais,12º ano,,,,21.6
2019,Portugal,,Cursos Tecnológicos e Profissionais,Total,,,,10.3
2019,Portugal,,Total,10º ano,,,,10.7
2019,Portugal,,Total,11º ano,,,,6.7
2019,Portugal,,Total,12º ano,,,,22.6
2019,Portugal,,Total,Total,,,,13.1
2020,Portugal,,Cursos gerais,10º ano,,,,8.5
2020,Portugal,,Cursos gerais,11º ano,,,,3.0
2020,Portugal,,Cursos gerais,12º ano,,,,13.0
2020,Portugal,,Cursos gerais,Total,,,,8.1
2020,Portugal,,Cursos Tecnológicos e Profissionais,10º ano,,,,5.2
2020,Portugal,,Cursos Tecnológicos e Profissionais,11º ano,,,,3.9
2020,Portugal,,Cursos Tecnológicos e Profissionais,12º ano,,,,19.6
2020,Portugal,,Cursos Tecnológicos e Profissionais,Total,,,,9.2
2020,Portugal,,Total,10º ano,,,,7.3
2020,Portugal,,Total,11º ano,,,,3.3
2020,Portugal,,Total,12º ano,,,,15.4
2020,Portugal,,Total,Total,,,,8.5
2021,Portugal,,Cursos gerais,10º ano,,,,9.8
2021,Portugal,,Cursos gerais,11º ano,,,,3.1
2021,Portugal,,Cursos gerais,12º ano,,,,10.9
2021,Portugal,,Cursos gerais,Total,,,,8.0
2021,Portugal,,Cursos Tecnológicos e Profissionais,10º ano,,,,6.0
2021,Portugal,,Cursos Tecnológicos e Profissionais,11º ano,,,,4.7
2021,Portugal,,Cursos Tecnológicos e Profissionais,12º ano,,,,16.6
2021,Portugal,,Cursos Tecnológicos e Profissionais,Total,,,,8.8
2021,Portugal,,Total,10º ano,,,,8.4
2021,Portugal,,Total,11º ano,,,,3.7
2021,Portugal,,Total,12º ano,,,,12.9
2021,Portugal,,Total,Total,,,,8.3
2022,Portugal,,Cursos gerais,10º ano,,,,10.8
2022,Portugal,,Cursos gerais,11º ano,,,,3.8
2022,Portugal,,Cursos gerais,12º ano,,,,10.2
2022,Portugal,,Cursos gerais,Total,,,,8.3
2022,Portugal,,Cursos Tecnológicos e Profissionais,10º ano,,,,6.6
2022,Portugal,,Cursos Tecnológicos e Profissionais,11º ano,,,,5.2
2022,Portugal,,Cursos Tecnológicos e Profissionais,12º ano,,,,15.8
2022,Portugal,,Cursos Tecnológicos e Profissionais,Total,,,,9.0
2022,Portugal,,Total,10º ano,,,,9.3
2022,Portugal,,Total,11º ano,,,,4.3
2022,Portugal,,Total,12º ano,,,,12.2
2022,Portugal,,Total,Total,,,,8.6
2023,Portugal,,Cursos gerais,10º ano,,,,12.4
2023,Portugal,,Cursos gerais,11º ano,,,,4.0
2023,Portugal,,Cursos gerais,12º ano,,,,11.2
2023,Portugal,,Cursos gerais,Total,,,,9.3
2023,Portugal,,Cursos Tecnológicos e Profissionais,10º ano,,,,9.1
2023,Portugal,,Cursos Tecnológicos e Profissionais,11º ano,,,,6.4
2023,Portugal,,Cursos Tecnológicos e Profissionais,12º ano,,,,16.9
